SN,Red Spectral Shfit (nm),Red ΔE,Green Spectral Shfit (nm),Green ΔE,Blue Spectral Shfit (nm),Blue ΔE,Red L (%),Green L (%),Blue L (%),Red Δu,Red Δv,Green Δu,Green Δv,Blue Δu,Blue Δv
10102-02,-3.791914305479395,0.13690411467548766,-12.485768173979636,9.738728753034941,-9.994985236065816,4.050650512213106,2.781682622658611,-30.474803095162027,265.31337592209087,0.0024203427506873654,0.0018722878367034568,0.04394011681437579,0.01999074098016762,0.04549615290642137,0.36965186258724025
11915-03,5.3177600698694505,0.44068137228962584,-8.227196548983216,7.984662146980906,-4.747834667949633,3.0406021198015822,-15.896116077328438,-19.64011065266696,166.70802610710095,0.0073536513128114045,0.006987125402342587,0.03381384598344087,0.015808865901927205,0.026171141739045167,0.22255343567123004
11915-04,-3.235399301560733,0.09479216117298599,-9.587440365441466,8.184287986420957,-4.081331786849944,2.5950809164259834,1.7375541937656986,-22.571210587619603,139.51624098080532,0.0014780088110986078,0.0013650135515189676,0.03519442196618089,0.01708637273387692,0.019014778258165915,0.1786643431018453
12714,-3.245387682224873,0.09547984666903533,-7.765689552688627,7.697656298897278,-7.2240888691524106,3.596239781656389,1.97563728946322,-18.601356087579127,214.0973419647903,0.0016303746129664454,0.001341994111124012,0.03240686767934889,0.015269998480815228,0.035520195032499174,0.29487525383557456
